P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_ESI,P_SEMI_MAJOR_AXIS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_RADIUS,P_MASS,P_DENSITY,P_GRAVITY,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_TEMPERATURE,S_LUMINOSITY,S_TYPE_TEMP,S_TIDAL_LOCK
HD 108236 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.27757026,0.04527,3.795963,0.045,345.79537,1.615,3.24,0.76917902,1.2422241,1074.3266,1123.8097,1213.283,1269.1665,5660,0.70794578,G,0.46889657
HAT-P-53 b,Transit,HATNet,2015,0.061894782,0.03159,1.9616241,0.134,1666.615,14.773,471.65972,0.14629271,2.1611823,1524.9948,1745.0824,1722.242,1970.7964,5956,1.6481624,G,0.47597757
HATS-46 b,Transit,HATSouth,2018,0.089891347,0.05367,4.7423729,0.559,246.54401,10.122,54.98459,0.053020277,0.53667124,771.45545,1450.4896,871.23771,1638.1001,5495,0.58884366,G,0.41783773
WASP-186 b,Transit,SuperWASP,2020,0.072564423,0.06,5.026799,0.33,930.53835,12.442,1341.2426,0.6963647,8.6641696,1202.5365,1694.2858,1358.076,1913.4296,6361,3.1622777,F,0.46157087
HATS-65 b,Transit,HATSouth,2018,0.055330205,0.04497,3.105161,0.062,1180.2949,16.825,260.93843,0.054786408,0.92178131,1448.1915,1540.944,1635.5048,1740.2541,6277,2.3823195,F,0.42535514
HD 108236 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.24963244,0.1074,14.175685,0.055,61.468031,2.539,6.98,0.42644922,1.0827546,694.17879,733.46883,783.96586,828.33779,5660,0.70794578,G,0.46889657
K2-34 b,Transit,K2,2016,0.066165748,0.0442,2.9956348,0,1285.7468,13.75,539.67534,0.20759863,2.8544811,1525.417,1525.417,1722.7188,1722.7188,6168,2.5118864,F,0.44834216
WASP-118 b,Transit,SuperWASP,2016,0.057224671,0.05453,4.0460435,0,1533.6597,16.141,163.36462,0.038847824,0.62704272,1594.1602,1594.1602,1800.3534,1800.3534,6410,4.5603692,F,0.40282256
HATS-13 b,Transit,HATSouth,2015,0.069655546,0.04057,3.0440499,0.181,295.00073,13.585,172.58169,0.068836026,0.93513741,967.43603,1161.7301,1092.567,1311.9916,5523,0.47752927,G,0.41112313
HATS-23 b,Transit,HATSouth,2017,0.045510574,0.03397,2.1605156,0.114,1246.3771,20.849,467.2101,0.051553308,1.0748349,1431.7241,1605.4067,1616.9074,1813.0546,5780,1.428894,G,0.47188814
TOI-125 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.2556295,0.137,19.98,0.168,28.039856,2.93,13.6,0.5406747,1.5841769,540.46553,640.36526,610.37089,723.19194,5320,0.51880004,K,0.46824787
TOI-1135 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,0.098622772,0.082,8.02773,0,253.14671,9.02,51.42,0.070066828,0.63200279,1016.1148,1016.1148,1147.542,1147.542,6122,1.7021585,G,0.33748429
TOI-2373 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.095251334,0.112,13.33668,0.112,90.220469,10.424,2955.8042,2.609591,27.202377,743.34137,831.8293,839.48727,939.42049,5651,1.124605,G,0.4872045
TOI-2416 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.091921564,0.0831,8.275479,0.32,240.57834,9.864,953.48522,0.99347004,9.7995885,861.51379,1200.3136,972.94445,1355.5656,5808,1.5739829,G,0.48416887
TOI-2524 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.082661304,0.073,7.18585,0,245.10619,11.209,203.41018,0.14443488,1.6189705,1007.9484,1007.9484,1138.3193,1138.3193,5831,1.3061709,G,0.49280802
Kepler-393 c,Transit,Kepler,2014,0.29224869,0.124,14.613612,0,217.34849,1.33,2.33,0.99037803,1.3172028,978.11263,978.11263,1104.6245,1104.6245,6189,3.3419504,F,0.4330716
Kepler-910 b,Transit,Kepler,2016,0.29010154,0.0382,2.364369,0,2137.3383,0.82,0.477,0.86512094,0.70939917,1732.0803,1732.0803,1956.1126,1956.1126,6230,3.1188896,F,0.47356722
Kepler-992 b,Transit,Kepler,2016,0.35898981,0.1339,20.160345,0,15.01201,1.62,3.26,0.76678314,1.2421887,501.42897,501.42897,566.28523,566.28523,4944,0.26915348,K,0.39926017
Kepler-10 c,Transit,Kepler,2011,0.3002536,0.241,45.294301,0.13,19.709112,2.355,11.4,0.87283493,2.0555263,503.85082,574.22429,569.02032,648.49611,5708,1.1350108,G,0.51379469
Kepler-107 d,Transit,Kepler,2014,0.29513441,0.08377,7.95839,0.11,331.48698,0.86,7.7,12.105852,10.411033,1030.1346,1150.4307,1163.3751,1299.2307,5854,2.3120648,G,0.48990095
TOI-3364 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.075040222,0.0675,5.8768918,0,424.02597,12.229,530.77344,0.29022602,3.549174,1155.9734,1155.9734,1305.4903,1305.4903,5706,1.9319683,G,0.50211838
Kepler-32 f,Transit,Kepler,2012,0.29408682,0.013,0.74296,0,302.07396,0.82,0.477,0.86512094,0.70939917,1062.0086,1062.0086,1199.3718,1199.3718,3900,0.0510505,M,0.35182461
Kepler-423 b,Transit,Kepler,2014,0.068463717,0.03585,2.6843285,0.019,746.6208,13.361,189.101,0.079282426,1.0592925,1319.0706,1344.3756,1489.683,1518.261,5560,0.95940063,G,0.50535503
TOI-1075 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.26758479,0.01159,0.6047328,0,534.359,1.791,9.95,1.7319539,3.1019294,1224.7797,1224.7797,1383.1963,1383.1963,3875,0.071779429,K,0.40672462
HATS-15 b,Transit,HATSouth,2016,0.072949275,0.02712,1.7474875,0.126,856.83208,12.386,689.6911,0.3629622,4.4956498,1296.2408,1471.2929,1463.9002,1661.5942,5311,0.62517269,G,0.50928791
EPIC 249893012 b,Transit,K2,2020,0.25843827,0.047,3.5951,0.06,1029.4077,1.95,8.75,1.1800604,2.3011177,1400.87,1487.6023,1582.0626,1680.0131,5430,2.2698649,G,0.5243988
EPIC 249893012 c,Transit,K2,2020,0.19451622,0.13,15.624,0.07,134.64181,3.67,14.67,0.29677815,1.0891758,838.3708,899.26266,946.80808,1015.5759,5430,2.2698649,G,0.5243988
CoRoT-14 b,Transit,CoRoT,2010,0.073150266,0.027,1.51214,0,1804.1493,12.22,2415.4,1.3236569,16.175088,1660.2284,1660.2284,1874.967,1874.967,6035,1.3152248,F,0.47328841
CoRoT-30 b,Transit,CoRoT,2020,0.089615713,0.0844,9.06005,0.007,89.191968,11.31,921.707,0.63709628,7.205559,780.1242,785.60432,881.0277,887.21663,5650,0.63533093,G,0.42673055
TOI-2134 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.26148817,0.078,9.2292005,0.06,31.593223,2.69,9.13,0.46904438,1.2617294,586.33994,622.6421,662.17882,703.17641,4580,0.19186687,K,0.40420282
TOI-4600 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.3412045,0.349,82.6869,0.25,3.5592911,6.8,959.84179,3.0526212,20.757824,310.44308,400.7803,350.59668,452.61837,5170,0.41975898,K,0.3953449
TOI-4600 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.32390108,1.152,482.8191,0.21,0.32351082,9.42,2946.2693,3.5246803,33.202489,173.67239,214.93638,196.13568,242.73686,5170,0.41975898,K,0.3953449
K2-60 b,Transit,K2,2016,0.1091981,0.045,3.00265,0,945.31157,7.656,135.39558,0.30171626,2.3099397,1412.5162,1412.5162,1595.2151,1595.2151,5500,1.9142559,G,0.51977504
Kepler-167 c,Transit,Kepler,2014,0.29259682,0.0684,7.406106,0,61.785675,1.674,3.44,0.73331755,1.2275736,714.20298,714.20298,806.58004,806.58004,4884,0.28906799,K,0.45652661
K2-291 b,Transit,K2,2019,0.27697092,0.03261,2.225177,0,641.6503,1.589,6.49,1.617607,2.5703774,1282.1071,1282.1071,1447.9385,1447.9385,5520,0.68233869,G,0.4346533
Kepler-104 d,Transit,Kepler,2014,0.2504979,0.257,51.755394,0,18.583767,3.58,5.54022,0.12074744,0.43227583,528.91167,528.91167,597.32262,597.32262,5711,1.2274392,G,0.51277606
K2-3 c,Transit,K2,2015,0.59721169,0.1357,24.646729,0.048,3.1940462,1.582,2.68,0.67688573,1.0708332,332.56699,348.93241,375.58216,394.06433,3844,0.058748935,M,0.40440878
Kepler-102 d,Transit,Kepler,2014,0.33000703,0.08618,10.311767,0.092,35.239747,1.154,3,1.9521079,2.2527326,593.31475,650.65915,670.05578,734.81727,4909,0.26061535,K,0.33740663
MASCARA-1 b,Transit,Multiple Observatories,2017,0.051572415,0.040352,2.1487738,0.00034,7434.8104,17.901,1175.971,0.20500513,3.6697969,2365.0665,2365.8708,2670.971,2671.8793,7490,12.105981,A,0.42689824
TOI-3693 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.086003123,0.0813,9.088516,0,68.520245,12.599,324.18498,0.16210061,2.0423056,732.91639,732.91639,827.7139,827.7139,5321,0.45289758,G,0.41012678
NGTS-24 b,Transit,Next-Generation Transit Survey (NGTS),2022,0.066822367,0.0479,3.4678796,0,1217.1076,13.608,165.27077,0.065586303,0.89249841,1504.6377,1504.6377,1699.2519,1699.2519,5820,2.7925438,G,0.50130429
Kepler-103 c,Transit,Kepler,2014,0.29675668,0.6639,179.60978,0.095,6.0501106,5.45,38,0.23474378,1.2793536,381.36542,419.49239,430.69232,473.75074,6009,2.6546056,F,0.51428775
Kepler-334 b,Transit,Kepler,2014,0.29636453,0.061,5.470319,0,305.7316,1.12,1.46,1.0391992,1.1639031,1065.2089,1065.2089,1202.9861,1202.9861,5828,1.1376273,G,0.38944389
Kepler-134 c,Transit,Kepler,2014,0.29848605,0.092,10.105785,0,135.96413,1.26,2.13,1.0647998,1.3416478,869.87289,869.87289,982.38474,982.38474,5983,1.1508004,G,0.43586632
TOI-1136 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.26330537,0.051049713,4.17278,0.031,365.78186,1.9,4.27,0.62253973,1.1828255,1097.0432,1131.5954,1238.9379,1277.9592,5770,0.95279616,G,0.33931878
TOI-1136 g,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.2961455,0.22859036,39.5387,0.036,18.245921,2.53,6.94,0.42854646,1.0842225,517.179,536.14498,584.07241,605.4915,5770,0.95279616,G,0.33931878
K2-182 b,Transit,K2,2018,0.23127972,0.0526,4.7369683,0.04,141.37617,2.69,20,1.0274795,2.7639198,861.17253,896.33679,972.55905,1012.2716,5170,0.3908409,K,0.38404847
HAT-P-61 b,Transit,HATNet,2021,0.087089899,0.0301,1.9023129,0.113,852.42782,10.077,335.94463,0.3283023,3.3083023,1302.6234,1459.1658,1471.1085,1647.8985,5587,0.76736149,G,0.41948882
CoRoT-13 b,Transit,CoRoT,2010,0.089371693,0.051,4.03519,0,454.84104,9.92,415.704,0.42584268,4.2243594,1176.426,1176.426,1328.5883,1328.5883,5945,1.1830416,G,0.39959492
Kepler-126 b,Transit,Kepler,2014,0.28276133,0.099,10.495711,0.07,289.59846,1.52,4.11726,1.1724046,1.7820551,1015.2903,1089.032,1146.6108,1229.8905,6239,2.831392,F,0.45397553
Kepler-773 b,Transit,Kepler,2016,0.28437506,0.047,3.7491001,0,563.38371,1.43,2.63,0.89938913,1.2861265,1241.0829,1241.0829,1401.6081,1401.6081,5850,1.2445146,G,0.43080176
HD 207897 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.27741168,0.1163,16.202159,0.047,26.626911,2.501,14.4,0.92049496,2.3021579,565.37488,592.60239,638.50209,669.25128,5070,0.35974934,K,0.46039566
TOI-3362 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.072282522,0.153,18.09547,0.815,404.19688,12.801,1598.3591,0.76197839,9.7540854,739.71714,2316.9578,835.39427,2616.6398,6532,5.4827696,F,0.45963857
HATS-44 b,Transit,HATSouth,2018,0.077377088,0.03649,2.7439004,0.279,312.78749,11.96,177.9848,0.10403737,1.244287,937.72934,1248.9503,1059.0179,1410.4931,5080,0.39994475,K,0.49680537
Kepler-167 d,Transit,Kepler,2016,0.37860821,0.1404,21.80379,0,14.66445,1.238,2.06,1.0856886,1.3440825,498.50114,498.50114,562.9787,562.9787,4884,0.28906799,K,0.45652661
Kepler-782 b,Transit,Kepler,2016,0.42234787,0.5444,158.68533,0,4.346741,3.21,10.4,0.31442585,1.009307,367.8245,367.8245,415.39997,415.39997,5867,1.2882496,G,0.46844659
HATS-36 b,Transit,HATSouth,2018,0.07083995,0.0523,4.175186,0.105,603.12033,12.92,1022.1413,0.47394002,6.1233051,1199.2721,1332.5618,1354.3894,1504.9191,5950,1.6405898,G,0.34099997
K2-77 b,Transit,K2,2016,0.26332034,0.076,8.199796,0.14,55.293129,2.3,603.877,49.632366,114.15444,648.99371,747.21174,732.93641,843.85825,4970,0.31622777,K,0.32321486
Kepler-432 b,Transit,Kepler,2015,0.079252541,0.301,52.501129,0.5134,108.46861,12.834,1719.4603,0.81340352,10.439221,643.19046,1134.3065,726.38256,1281.0209,4995,8.4333476,K,0.49845317
HATS-54 b,Transit,HATSouth,2019,0.078387843,0.037,2.5441765,0,951.91145,11.377,239.32479,0.1625191,1.8489798,1414.9753,1414.9753,1597.9922,1597.9922,5621,1.3031668,G,0.51377557
Kepler-20 f,Transit,Kepler,2011,0.33119244,0.1387,19.578328,0.094,35.708723,0.952,1.4,1.6226214,1.5447355,594.70668,653.50269,671.62775,738.0286,5495,0.68391165,G,0.46531868
TOI-2421 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.084911246,0.0543,4.3474032,0,925.55097,10.368,105.83686,0.094962465,0.98457084,1405.0759,1405.0759,1586.8125,1586.8125,5607,2.7289778,G,0.52130817
HD 109833 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.2405435,0.11605498,13.900148,0.3,91.865347,2.59,7.22,0.41556399,1.0763107,683.59069,931.57708,772.00826,1052.0699,5881,1.1803206,G,0.20102961
Kepler-167 b,Transit,Kepler,2014,0.27955535,0.04825,4.3931539,0,124.16676,1.718,3.6,0.7099586,1.2197089,850.35653,850.35653,960.34408,960.34408,4884,0.28906799,K,0.45652661
HD 114082 b,Radial Velocity,La Silla Observatory,2022,0.14054563,0.5109,109.75,0.395,15.964797,11.209,2542.6273,1.805436,20.237132,422.07988,640.92036,476.6729,723.81884,6651,3.8282474,F,0.20199742
TOI-5126 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.19205525,0.1439,17.8999,0,96.13431,3.86,14.2,0.24690304,0.95304572,797.66275,797.66275,900.83474,900.83474,6150,1.9906733,F,0.37029433
HATS-74 A b,Transit,HATSouth,2021,0.086108284,0.02384,1.7318561,0.044,107.10464,11.568,464.02947,0.29975796,3.4676001,801.85591,837.9491,905.57025,946.33183,3776.9,0.0608135,M,0.44996013
Kepler-102 e,Transit,Kepler,2013,0.31095415,0.1162,16.145699,0.089,19.378253,2.17,4.7,0.45995851,0.99810996,511.66146,559.41931,577.84122,631.77621,4909,0.26061535,K,0.33740663
WASP-193 b,Transit,WASP-South,2023,0.058251798,0.0676,6.2463345,0.056,411.89702,16.41,44.17815,0.009997278,0.16405534,1116.3346,1180.7022,1260.7246,1333.4176,6078,1.8793168,F,0.46691258
HATS-9 b,Transit,HATSouth,2015,0.065417947,0.0312,1.915291,0.075,2113.0789,13.85,266.02371,0.10013157,1.3868222,1664.6318,1794.5334,1879.94,2026.6435,5599,2.0511622,G,0.54902615
HATS-8 b,Transit,HATSouth,2015,0.090332887,0.04667,3.583893,0.376,467.75979,9.785,43.86054,0.046815696,0.45809159,990.88121,1471.4263,1119.0446,1661.7448,5679,0.94406088,G,0.47854394
HATS-49 b,Transit,HATSouth,2020,0.11188267,0.04515,4.1480467,0.071,80.682974,8.575,112.19399,0.17793739,1.5258131,737.26921,791.6131,832.62972,894.00261,4405,0.16405898,K,0.47225421
HIP 113103 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.28668788,0.06899,7.610303,0.17,56.597303,1.829,4,0.6537608,1.1957285,643.59655,764.1306,726.84117,862.96544,4930,0.26546056,K,0.28785847
HAT-P-64 b,Transit,HATNet,2021,0.049126658,0.05387,4.007232,0.101,1612.6219,19.089,184.34048,0.026501544,0.50588798,1536.5,1700.3815,1735.2353,1920.3137,6457,4.6558609,F,0.46569835
Kepler-849 b,Transit,Kepler,2016,0.34722186,1.1088,394.62449,0,3.2756204,7.14,40.4,0.11099074,0.79247385,342.7071,342.7071,387.03382,387.03382,6059,4.0271703,F,0.48251082
TOI-849 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.1935372,0.01598,0.76552414,0,2370.5354,3.444,39.09,0.95692135,3.2956371,1777.507,1777.507,2007.4149,2007.4149,5373.8,0.60534087,G,0.47943708
Kepler-167 e,Transit,Kepler,2016,0.16803179,1.883,1071.2321,0.29,0.085187394,10.16,321.00669,0.3060786,3.1097585,119.8477,161.54569,135.34914,182.44047,4884,0.28906799,K,0.45652661
WASP-124 b,Transit,SuperWASP-South,2016,0.066233363,0.0449,3.37265,0.017,699.14955,13.899,190.698,0.071022421,0.98714063,1298.8711,1321.1429,1466.8708,1492.0233,6050,1.4092888,F,0.41405304
TOI-1347 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,0.26531084,0.016979454,0.84742346,0,1906.1303,1.8,11.1,1.9032922,3.4259259,1683.2083,1683.2083,1900.9192,1900.9192,5464,0.54954087,G,0.36665699
TOI-1347 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,0.28165234,0.054267228,4.841962,0,186.60562,1.6,6.4,1.5625,2.5,941.52291,941.52291,1063.3022,1063.3022,5464,0.54954087,G,0.36665699
Kepler-1647 b,Transit,Kepler,2016,0.37654079,2.7205,1107.5923,0.0581,0.59626152,11.874,483,0.28850676,3.4257293,217.52641,230.55415,245.6619,260.37468,6210,4.4055486,F,0.48931316
TOI-5344 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.11007367,0.04041,3.792622,0.054,37.554019,10.604,130.9453,0.10981983,1.1645295,614.02348,648.12641,693.44303,731.95693,3747,0.061235039,M,0.45175801
Kepler-411 b,Transit,Kepler,2013,0.24210628,0.0375,3.005156,0.146,189.50306,2.401,25.6,1.849539,4.4407431,880.52515,1020.0117,994.4148,1151.9429,4974,0.26363314,K,0.26370633
Kepler-1009 b,Transit,Kepler,2016,0.32253236,0.0796,11.350119,0,16.261997,2.17,5.35,0.52356979,1.1361464,511.55599,511.55599,577.72211,577.72211,4027,0.10303861,K,0.36346005
Kepler-732 c,Transit,Kepler,2016,0.29468546,0.0143,0.89304124,0,206.21864,1.27,2.15,1.0496084,1.3330027,965.34309,965.34309,1090.2033,1090.2033,3631,0.04216965,M,0.36197184
Kepler-1019 b,Transit,Kepler,2016,0.28496659,0.0221,1.4112299,0,320.04825,1.46,2.73,0.87721102,1.2807281,1077.466,1077.466,1216.8285,1216.8285,4433,0.15631476,K,0.39230957
Kepler-10 b,Transit,Kepler,2011,0.28055312,0.01685,0.8374907,0,3997.6079,1.47,3.26,1.0262794,1.5086307,2025.5817,2025.5817,2287.5762,2287.5762,5708,1.1350108,G,0.51379469
Kepler-465 b,Transit,Kepler,2016,0.21668421,0.0953,9.9406725,0,239.78069,2.95,9.01,0.35096091,1.0353347,1002.4282,1002.4282,1132.0851,1132.0851,6310,2.1777098,F,0.43678451
TOI-2196 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.19138232,0.02234,1.1947268,0,1985.3344,3.51,26,0.60124572,2.1103725,1700.4275,1700.4275,1920.3657,1920.3657,5634,0.99083194,G,0.46420092
TOI-1136 e,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.25007057,0.13925236,18.7992,0.057,49.215459,2.639,7.46,0.4059015,1.0711741,656.01072,694.53252,740.86102,784.36534,5770,0.95279616,G,0.33931878
TOI-1136 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.17258373,0.10619351,12.51937,0.016,84.500576,4.627,19.3,0.19483134,0.9014846,766.22069,778.57988,865.32586,879.28363,5770,0.95279616,G,0.33931878
HATS-66 b,Transit,HATSouth,2018,0.057991268,0.04714,3.1414391,0.064,2637.012,15.816,1694.0339,0.42818567,6.7721845,1768.8219,1885.8928,1997.6064,2129.8195,6626,5.8479008,F,0.45643033
Kepler-42 d,Transit,Kepler,2011,0.3886222,0.0154,1.865169,0.02,10.116853,0.57,0.13,0.70197038,0.40012311,449.82052,458.90872,508.00159,518.26529,3068,0.002398833,M,0.23284917
Kepler-303 b,Transit,Kepler,2014,0.30110016,0.024,1.937055,0,149.13429,0.89,0.64,0.90784134,0.80797879,890.21332,890.21332,1005.3561,1005.3561,3944,0.085901352,M,0.36209383
Kepler-197 e,Transit,Kepler,2014,0.31287736,0.164,25.209715,0.38,67.015755,0.91,0.693,0.91962138,0.83685545,608.4687,907.78278,687.16978,1025.198,6004,1.6672472,F,0.45018052
Kepler-323 b,Transit,Kepler,2014,0.2846549,0.02778,1.678328,0.095,1842.9102,1.381,3.9,1.4807562,2.0449244,1593.2229,1752.5051,1799.2949,1979.1792,6004,1.4157938,F,0.4769694
TOI-1136 f,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.21623532,0.17425762,26.3162,0.012,31.379624,3.88,14.3,0.2448166,0.9498884,599.32662,606.56222,676.84524,685.01671,5770,0.95279616,G,0.33931878
CoRoT-36 b,Transit,CoRoT,2022,0.058335794,0.066,5.616531,0,1492.4924,15.805,216.12332,0.054741681,0.86519227,1583.353,1583.353,1788.1484,1788.1484,6730,6.5012969,F,0.44407129
Kepler-454 b,Transit,Kepler,2015,0.24658368,0.09528,10.573753,0.32,131.35756,2.37,5.4,0.40564742,0.96138439,740.56276,1031.7973,836.34927,1165.2529,5687,1.1297959,G,0.47628159
Kepler-295 b,Transit,Kepler,2014,0.29266296,0.099,12.645164,0,434.23978,1.22,1.98,1.0903996,1.3302876,1162.8725,1162.8725,1313.2818,1313.2818,5603,4.2559841,G,0.49442674
Kepler-538 b,Transit,Kepler,2016,0.44640241,0.3554,81.73778,0.21,5.3623965,2.215,12.9,1.1870487,2.6293128,350.42761,433.68805,395.75292,489.7825,5534,0.6622165,G,0.45436076
K2-180 b,Transit,K2,2018,0.24867972,0.0734,8.8656511,0,67.547282,2.52,11.44182,0.71497933,1.8017479,730.30064,730.30064,824.75981,824.75981,5306,0.36391504,K,0.46661239
TOI-2525 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.23219708,0.249,49.2519,0.157,5.9295378,10.133,208.81326,0.20069842,2.0336771,368.41165,431.60478,416.06307,487.42978,5096,0.36307805,K,0.42676942
TOI-2803 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.051367387,0.03185,1.9622933,0,2136.8849,18.114,309.8827,0.052137985,0.94442746,1731.9884,1731.9884,1956.0088,1956.0088,6280,2.1677041,F,0.46202393
TOI-3819 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.068955151,0.04611,3.2443141,0,1181.4348,13.137,352.78953,0.15560627,2.0441995,1493.4894,1493.4894,1686.6616,1686.6616,5859,2.5118864,G,0.49381865
WASP-150 b,Transit,SuperWASP-North,2020,0.07508595,0.0694,5.644207,0.3775,810.33683,11.994,2688.8418,1.5583791,18.691199,1135.9891,1689.8583,1282.9212,1908.4294,6218,3.6140986,F,0.47811618
TOI-712 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.65669073,0.3405,84.8396,0.073,1.6178045,2.474,6.68,0.44114095,1.0913827,277.16685,298.19564,313.01641,336.76511,4622,0.18706821,K,0.31225697
Kepler-1312 b,Transit,Kepler,2016,0.25575271,0.0603,5.4483253,0,218.9603,2.1,5.06,0.54637728,1.1473923,979.92097,979.92097,1106.6668,1106.6668,5719,0.79615935,G,0.40019799
Kepler-329 b,Transit,Kepler,2014,0.33001479,0.061,7.416397,0,28.730311,1.4,2.54,0.92565598,1.2959184,589.77287,589.77287,666.05578,666.05578,4257,0.10690549,K,0.37124747
Kepler-337 b,Transit,Kepler,2014,0.27801467,0.045,3.292781,0,1494.7721,1.54,2.99,0.81867028,1.2607522,1583.9572,1583.9572,1788.8308,1788.8308,5684,3.0269134,G,0.51632551
K2-265 b,Transit,K2,2018,0.27137533,0.03376,2.369172,0.084,581.74512,1.71,6.54,1.3079448,2.2365856,1200.5599,1306.0228,1355.8438,1474.9475,5477,0.66069345,G,0.50810024
Kepler-79 d,Transit,Kepler,2014,0.1542328,0.287,52.0902,0.025,26.691438,7.16,6,0.016346026,0.11703755,571.86936,586.34936,645.83658,662.18946,6174,2.1978599,F,0.46314097
Kepler-446 b,Transit,Kepler,2015,0.35551275,0.0182,1.565409,0,17.055216,1.5,2.86,0.84740741,1.2711111,517.68313,517.68313,584.64175,584.64175,3359,0.00564937,M,0.26881668
Kepler-81 d,Transit,Kepler,2014,0.44802916,0.128,20.837846,0,7.880977,1.21,1.92,1.0837899,1.3113858,426.81996,426.81996,482.02608,482.02608,4500,0.12912193,M,0.3841614
Kepler-480 b,Transit,Kepler,2016,0.21997191,0.0605,4.9195838,0,821.27623,2.78,8.15,0.37933527,1.054552,1363.71,1363.71,1540.0961,1540.0961,6322,3.0060763,F,0.44401484
Kepler-527 b,Transit,Kepler,2016,0.22426903,0.1179,13.285356,0,151.3465,2.84,8.45,0.36889408,1.0476592,893.4964,893.4964,1009.0638,1009.0638,6388,2.1037784,F,0.44943135
Kepler-1075 b,Transit,Kepler,2016,0.2900978,0.0208,1.5237282,0,178.1859,1.42,2.6,0.90804697,1.2894267,930.71785,930.71785,1051.0996,1051.0996,3959,0.077090347,K,0.35312179
Kepler-334 c,Transit,Kepler,2014,0.29577865,0.107,12.758005,0,99.364773,1.43,2.63,0.89938913,1.2861265,804.28102,804.28102,908.30903,908.30903,5828,1.1376273,G,0.38944389
Kepler-403 c,Transit,Kepler,2014,0.29381148,0.297,54.280749,0,49.944435,1.75,3.71,0.6922449,1.2114286,677.20707,677.20707,764.79897,764.79897,6090,4.4055486,F,0.47119322
Kepler-1276 b,Transit,Kepler,2016,0.29992554,0.1072,12.57201,0,144.41438,1.19,1.81,1.0740826,1.2781583,883.08461,883.08461,997.3053,997.3053,6188,1.6595869,F,0.45101003
Kepler-401 c,Transit,Kepler,2014,0.27279322,0.269,47.318218,0,50.873948,2.15,5.27,0.53026778,1.1400757,680.33618,680.33618,768.33281,768.33281,6117,3.6812897,F,0.465577
Kepler-206 d,Transit,Kepler,2014,0.32042143,0.163,23.44281,0,45.669346,1.19,1.81,1.0740826,1.2781583,662.22551,662.22551,747.87965,747.87965,5764,1.2133889,G,0.50288762
Kepler-345 b,Transit,Kepler,2014,0.30382734,0.066,7.415563,0,73.436527,0.74,0.5,1.2338855,0.91307524,745.72335,745.72335,842.17734,842.17734,4504,0.31988951,K,0.35910674
Kepler-353 b,Transit,Kepler,2014,0.34599959,0.051,5.795278,0,24.995374,0.89,0.64,0.90784134,0.80797879,569.59297,569.59297,643.26576,643.26576,3903,0.065012969,K,0.35923531
Kepler-367 c,Transit,Kepler,2014,0.58415034,0.253,53.578637,0,3.7736269,1.2,1.87,1.0821759,1.2986111,355.04994,355.04994,400.97312,400.97312,4710,0.24154608,K,0.36116062
Kepler-535 b,Transit,Kepler,2016,0.23927121,0.0594,4.9033216,0,621.47993,2.36,6.17,0.46940656,1.1077995,1271.9103,1271.9103,1436.4228,1436.4228,6123,2.1928049,F,0.4598431
