P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_ESI,P_SEMI_MAJOR_AXIS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_RADIUS,P_MASS,P_DENSITY,P_GRAVITY,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_TEMPERATURE,S_LUMINOSITY,S_TYPE_TEMP,S_TIDAL_LOCK
Kepler-395 c,Transit,Kepler,2014,0.73889128,0.177,34.989262,0,2.0419893,1.32,2.3,1.0000139,1.3200184,304.51808,304.51808,343.90532,343.90532,4262,0.063973484,K,0.32989474
Kepler-445 b,Transit,Kepler,2015,0.35223075,0.0217,2.984151,0,16.868658,1.58,3.12,0.79101248,1.2497997,516.26162,516.26162,583.03638,583.03638,3157,0.007943282,M,0.2767043
Kepler-463 b,Transit,Kepler,2016,0.21382995,0.078,8.9810168,0,197.15636,3.05,9.53,0.33588714,1.0244558,954.55819,954.55819,1078.0235,1078.0235,5661,1.1994993,G,0.47683445
Kepler-470 b,Transit,Kepler,2016,0.076633252,0.2322,24.669196,0,74.178077,14.44,35600,11.823564,170.73227,747.59881,747.59881,844.29538,844.29538,6613,3.9994475,F,0.44379902
Kepler-441 b,Transit,Kepler,2015,0.51489081,0.64,207.2482,0.1,0.21818378,1.64,3.33,0.75494044,1.2381023,165.79193,183.28987,187.23593,206.99711,4340,0.088920112,K,0.33009736
Kepler-446 d,Transit,Kepler,2015,0.59474951,0.0403,5.148921,0,3.4784832,1.35,2.39,0.97139664,1.3113855,347.8942,347.8942,392.89183,392.89183,3359,0.00564937,M,0.26881668
Kepler-261 b,Transit,Kepler,2014,0.27538881,0.088,10.381227,0,43.655067,2.18,5.39,0.52025862,1.1341638,654.79955,654.79955,739.4932,739.4932,5098,0.33806484,K,0.43155177
Kepler-368 b,Transit,Kepler,2014,0.21126107,0.186,26.84768,0,105.4324,3.26,10.7,0.30883818,1.0068125,816.28767,816.28767,921.86866,921.86866,5502,3.6475395,G,0.52376909
Kepler-378 b,Transit,Kepler,2014,0.36072087,0.112,16.092361,0,17.642656,0.75,0.347,0.82251852,0.61688889,522.08438,522.08438,589.61227,589.61227,4661,0.22130947,K,0.40057195
Kepler-379 b,Transit,Kepler,2014,0.28788409,0.152,20.09838,0,82.473196,1.66,3.39,0.74109765,1.2302221,767.67592,767.67592,866.96932,866.96932,6054,1.9054607,F,0.4611537
Kepler-303 c,Transit,Kepler,2014,0.34280281,0.057,7.061149,0,26.43932,1.14,1.55,1.0462059,1.1926747,577.64668,577.64668,652.36116,652.36116,3944,0.085901352,M,0.36209383
Kepler-312 c,Transit,Kepler,2014,0.21099851,0.153,19.747412,0,169.28448,3.15,10.1,0.32313925,1.0178886,918.86983,918.86983,1037.7191,1037.7191,6115,3.9627803,F,0.40916973
Kepler-333 b,Transit,Kepler,2014,0.37051522,0.087,12.551158,0,15.594142,1.32,28.2,12.26104,16.184573,506.22091,506.22091,571.69698,571.69698,4259,0.11803206,K,0.36702819
Kepler-33 d,Transit,Kepler,2011,0.15175706,0.1662,21.77596,0,130.23807,5.35,3.91,0.025533798,0.13660582,860.56603,860.56603,971.87411,971.87411,5904,3.5974934,G,0.49601261
Kepler-356 c,Transit,Kepler,2014,0.27028851,0.115,13.121632,0,218.57693,1.81,3.93,0.66276082,1.1995971,979.49177,979.49177,1106.182,1106.182,6133,2.8906799,F,0.44031054
Kepler-333 c,Transit,Kepler,2014,0.48074054,0.135,24.08821,0,6.4763821,1.11,1.41,1.0309798,1.1443876,406.38047,406.38047,458.94288,458.94288,4259,0.11803206,K,0.36702819
Kepler-348 c,Transit,Kepler,2014,0.29560561,0.138,17.265427,0,142.3121,1.33,2.33,0.99037803,1.3172028,879.8531,879.8531,993.65581,993.65581,6177,2.7101916,F,0.44476642
Kepler-363 c,Transit,Kepler,2014,0.27368037,0.079,7.542427,0,371.31784,1.69,66.4,13.7565,23.248486,1118.2429,1118.2429,1262.8797,1262.8797,5593,2.3173946,G,0.48683555
HD 137496 b,Transit,K2,2021,0.28700461,0.02732,1.62116,0,3111.993,1.31,4.04,1.7970803,2.3541752,1902.652,1902.652,2148.7465,2148.7465,5799,2.3227368,G,0.51572197
NGTS-13 b,Transit,Paranal Observatory,2021,0.070612847,0.0549,4.119027,0.086,1095.1341,12.801,1538.2972,0.73334537,9.3875541,1404.9104,1531.4063,1586.6255,1729.4828,5819,3.2885163,G,0.49651154
WTS-1 b,Transit,United Kingdom Infrared Telescope,2012,0.056701132,0.047,3.352057,0.1,557.16867,16.7,1274.44,0.27363395,4.569687,1178.5674,1302.9553,1331.0067,1471.4833,6250,1.2246162,F,0.44433305
Kepler-1004 b,Transit,Kepler,2016,0.12749154,0.0671,5.2878979,0,1146.9777,6.28,32.5,0.13122133,0.82406994,1482.4787,1482.4787,1674.2267,1674.2267,4972,5.1641637,K,0.52116605
Kepler-1244 b,Transit,Kepler,2016,0.28542111,0.0502,3.7042817,0,4271.6196,1.35,2.39,0.97139664,1.3113855,2059.4339,2059.4339,2325.8069,2325.8069,6680,10.764652,F,0.44335398
